image_id,label
test_1122c,vinegar
test_1122d,tomatosauce
test_1123a,soda
test_1123b,jam
test_1123c,jam
test_1123d,candy
test_1124a,water
test_1124b,water
test_1124c,tea
test_1124d,corn
test_1125a,tea
test_1125b,water
test_1125c,rice
test_1125d,flour
test_1126a,chocolate
test_1126b,candy
test_1126c,chips
test_1126d,rice
test_1127a,vinegar
test_1127b,honey
test_1127c,oil
test_1127d,beans
test_1128a,jam
test_1128b,chips
test_1128c,water
test_1128d,corn
test_1129a,cake
test_1129b,candy
test_1129c,vinegar
test_1129d,honey
test_1130a,coffee
test_1130b,cake
test_1130c,tea
test_1130d,juice
test_1131a,chocolate
test_1131b,beans
test_1131c,pasta
test_1131d,jam
test_1132a,candy
test_1132b,rice
test_1132c,cereal
test_1132d,beans
test_1133a,tea
test_1133b,coffee
test_1133c,tea
test_1133d,tea
test_1134a,water
test_1134b,honey
test_1134c,tomatosauce
test_1134d,sugar
test_1135a,candy
test_1135b,soda
test_1135c,tea
test_1135d,water
test_1136a,beans
test_1136b,corn
test_1136c,chocolate
test_1136d,juice
test_1137a,rice
test_1137b,juice
test_1137c,chocolate
test_1137d,pasta
test_1138a,juice
test_1138b,chips
test_1138c,water
test_1138d,tomatosauce
test_1139a,coffee
test_1139b,juice
test_1139c,water
test_1139d,beans
test_1140a,tea
test_1140b,milk
test_1140c,chocolate
test_1140d,cake
test_1141a,jam
test_1141b,cake
test_1141c,nuts
test_1141d,sugar
test_1142a,water
test_1142b,corn
test_1142c,water
test_1142d,cake
test_1143a,nuts
test_1143b,spices
test_1143c,juice
test_1143d,juice
test_1144a,candy
test_1144b,water
test_1144c,beans
test_1144d,coffee
test_1145a,chocolate
test_1145b,milk
test_1145c,chocolate
test_1145d,juice
test_1146a,soda
test_1146b,nuts
test_1146c,milk
test_1146d,tea
test_1147a,tomatosauce
test_1147b,cake
test_1147c,chocolate
test_1147d,fish
test_1148a,tea
test_1148b,pasta
test_1148c,juice
test_1148d,spices
test_1149a,water
test_1149b,tea
test_1149c,honey
test_1149d,honey
test_1150a,honey
test_1150b,juice
test_1150c,sugar
test_1150d,tomatosauce
test_1151a,chocolate
test_1151b,coffee
test_1151c,sugar
test_1151d,chocolate
test_1152a,spices
test_1152b,spices
test_1152c,soda
test_1152d,rice
test_1153a,pasta
test_1153b,pasta
test_1153c,jam
test_1153d,nuts
test_1154a,tea
test_1154b,sugar
test_1154c,sugar
test_1154d,tea
test_1155a,fish
test_1155b,candy
test_1155c,nuts
test_1155d,coffee
test_1156a,tomatosauce
test_1156b,flour
test_1156c,juice
test_1156d,juice
test_1157a,tea
test_1157b,beans
test_1157c,honey
test_1157d,soda
test_1158a,chocolate
test_1158b,juice
test_1158c,water
test_1158d,juice
test_1159a,beans
test_1159b,spices
test_1159c,candy
test_1159d,coffee
test_1160a,cake
test_1160b,rice
test_1160c,cake
test_1160d,cereal
test_1161a,soda
test_1161b,tea
test_1161c,honey
test_1161d,cake
test_1162a,chips
test_1162b,chips
test_1162c,rice
test_1162d,nuts
test_1163a,nuts
test_1163b,sugar
test_1163c,corn
test_1163d,oil
test_1164a,tea
test_1164b,nuts
test_1164c,honey
test_1164d,candy
test_1165a,flour
test_1165b,juice
test_1165c,juice
test_1165d,jam
test_1166a,cereal
test_1166b,spices
test_1166c,tomatosauce
test_1166d,juice
test_1167a,juice
test_1167b,tea
test_1167c,tea
test_1167d,chips
test_1168a,jam
test_1168b,spices
test_1168c,soda
test_1168d,nuts
test_1169a,beans
test_1169b,water
test_1169c,pasta
test_1169d,rice
test_1170a,juice
test_1170b,chips
test_1170c,chips
test_1170d,pasta
test_1171a,chocolate
test_1171b,rice
test_1171c,candy
test_1171d,chips
test_1172a,tea
test_1172b,candy
test_1172c,tea
test_1172d,jam
test_1173a,cereal
test_1173b,spices
test_1173c,sugar
test_1173d,rice
test_1174a,beans
test_1174b,candy
test_1174c,beans
test_1174d,juice
test_1175a,tomatosauce
test_1175b,sugar
test_1175c,cake
test_1175d,honey
test_1176a,spices
test_1176b,sugar
test_1176c,juice
test_1176d,cake
test_1177a,coffee
test_1177b,pasta
test_1177c,chips
test_1177d,vinegar
test_1178a,tomatosauce
test_1178b,chips
test_1178c,jam
test_1178d,water
test_1179a,honey
test_1179b,jam
test_1179c,coffee
test_1179d,chips
test_1180a,tea
test_1180b,candy
test_1180c,milk
test_1180d,jam
test_1181a,cake
test_1181b,chips
test_1181c,soda
test_1181d,nuts
test_1182a,jam
test_1182b,cereal
test_1182c,soda
test_1182d,honey
test_1183a,nuts
test_1183b,water
test_1183c,water
test_1183d,honey
test_1184a,juice
test_1184b,coffee
test_1184c,sugar
test_1184d,candy
test_1185a,chips
test_1185b,candy
test_1185c,candy
test_1185d,spices
test_1186a,chips
test_1186b,coffee
test_1186c,pasta
test_1186d,beans
test_1187a,chips
test_1187b,candy
test_1187c,juice
test_1187d,chips
test_1188a,beans
test_1188b,vinegar
test_1188c,jam
test_1188d,tea
test_1189a,cereal
test_1189b,cereal
test_1189c,candy
test_1189d,corn
test_1190a,cereal
test_1190b,tea
test_1190c,candy
test_1190d,soda
test_1191a,corn
test_1191b,candy
test_1191c,chocolate
test_1191d,tea
test_1192a,milk
test_1192b,tea
test_1192c,juice
test_1192d,nuts
test_1193a,chips
test_1193b,coffee
test_1193c,juice
test_1193d,oil
test_1194a,spices
test_1194b,cake
test_1194c,corn
test_1194d,flour
test_1195a,honey
test_1195b,beans
test_1195c,cereal
test_1195d,cake
test_1196a,jam
test_1196b,juice
test_1196c,tea
test_1196d,honey
test_1197a,spices
test_1197b,honey
test_1197c,soda
test_1197d,tea
test_1198a,chips
test_1198b,juice
test_1198c,jam
test_1198d,chocolate
test_1199a,honey
test_1199b,pasta
test_1199c,sugar
test_1199d,spices
test_1200a,tea
test_1200b,cereal
test_1200c,tomatosauce
test_1200d,beans
test_1201a,nuts
test_1201b,juice
test_1201c,chocolate
test_1201d,spices
test_1202a,cake
test_1202b,tea
test_1202c,tomatosauce
test_1202d,chocolate
test_1203a,coffee
test_1203b,beans
test_1203c,pasta
test_1203d,tea
test_1204a,water
test_1204b,water
test_1204c,spices
test_1204d,corn
test_1205a,juice
test_1205b,water
test_1205c,candy
test_1205d,tea
test_1206a,candy
test_1206b,sugar
test_1206c,cake
test_1206d,vinegar
test_1207a,tea
test_1207b,sugar
test_1207c,soda
test_1207d,candy
test_1208a,sugar
test_1208b,flour
test_1208c,corn
test_1208d,juice
test_1209a,nuts
test_1209b,jam
test_1209c,water
test_1209d,coffee
test_1210a,water
test_1210b,coffee
test_1210c,juice
test_1210d,cake
test_1211a,jam
test_1211b,nuts
test_1211c,chocolate
test_1211d,juice
test_1212a,candy
test_1212b,corn
test_1212c,chocolate
test_1212d,jam
test_1213a,tea
test_1213b,jam
test_1213c,nuts
test_1213d,vinegar
test_1214a,soda
test_1214b,chips
test_1214c,water
test_1214d,jam
test_1215a,honey
test_1215b,tea
test_1215c,water
test_1215d,nuts
test_1216a,vinegar
test_1216b,candy
test_1216c,tea
test_1216d,coffee
test_1217a,cake
test_1217b,tea
test_1217c,nuts
test_1217d,honey
test_1218a,juice
test_1218b,chocolate
test_1218c,candy
test_1218d,sugar
test_1219a,coffee
test_1219b,candy
test_1219c,sugar
test_1219d,honey
test_1220a,soda
test_1220b,juice
test_1220c,chocolate
test_1220d,chips
test_1221a,juice
test_1221b,tea
test_1221c,coffee
test_1221d,vinegar
test_1222a,pasta
test_1222b,cake
test_1222c,tea
test_1222d,juice
test_1223a,pasta
test_1223b,juice
test_1223c,cereal
test_1223d,honey
test_1224a,candy
test_1224b,juice
test_1224c,vinegar
test_1224d,jam
test_1225a,rice
test_1225b,water
test_1225c,soda
test_1225d,corn
test_1226a,tomatosauce
test_1226b,candy
test_1226c,tea
test_1226d,chocolate
test_1227a,candy
test_1227b,juice
test_1227c,juice
test_1227d,juice
test_1228a,corn
test_1228b,tea
test_1228c,juice
test_1228d,tomatosauce
test_1229a,rice
test_1229b,coffee
test_1229c,rice
test_1229d,spices
test_1230a,soda
test_1230b,juice
test_1230c,water
test_1230d,nuts
test_1231a,juice
test_1231b,tea
test_1231c,pasta
test_1231d,oil
test_1232a,chocolate
test_1232b,chocolate
test_1232c,rice
test_1232d,juice
test_1233a,juice
test_1233b,chocolate
test_1233c,juice
test_1233d,soda
test_1234a,honey
test_1234b,corn
test_1234c,water
test_1234d,vinegar
test_1235a,tomatosauce
test_1235b,tea
test_1235c,juice
test_1235d,pasta
test_1236a,chocolate
test_1236b,rice
test_1236c,cake
test_1236d,jam
test_1237a,vinegar
test_1237b,fish
test_1237c,tomatosauce
test_1237d,pasta
test_1238a,candy
test_1238b,rice
test_1238c,water
test_1238d,nuts
test_1239a,chips
test_1239b,tea
test_1239c,cake
test_1239d,candy
test_1240a,tea
test_1240b,rice
test_1240c,jam
test_1240d,chocolate
test_1241a,chips
test_1241b,tomatosauce
test_1241c,milk
test_1241d,chips
test_1242a,beans
test_1242b,soda
test_1242c,beans
test_1242d,cereal
test_1243a,honey
test_1243b,rice
test_1243c,water
test_1243d,tea
test_1244a,nuts
test_1244b,tea
test_1244c,honey
test_1244d,vinegar
test_1245a,chips
test_1245b,water
test_1245c,juice
test_1245d,tea
test_1246a,nuts
test_1246b,spices
test_1246c,chips
test_1246d,chips
test_1247a,milk
test_1247b,juice
test_1247c,jam
test_1247d,spices
test_1248a,honey
test_1248b,sugar
test_1248c,candy
test_1248d,tomatosauce
test_1249a,chips
test_1249b,water
test_1249c,juice
test_1249d,juice
test_1250a,water
test_1250b,cake
test_1250c,honey
test_1250d,juice
test_1251a,candy
test_1251b,water
test_1251c,water
test_1251d,jam
test_1252a,pasta
test_1252b,tea
test_1252c,candy
test_1252d,jam
test_1253a,water
test_1253b,pasta
test_1253c,sugar
test_1253d,flour
test_1254a,candy
test_1254b,milk
test_1254c,nuts
test_1254d,juice
test_1255a,pasta
test_1255b,sugar
test_1255c,chocolate
test_1255d,corn
test_1256a,cereal
test_1256b,rice
test_1256c,tomatosauce
test_1256d,corn
test_1257a,tea
test_1257b,tea
test_1257c,chocolate
test_1257d,candy
test_1258a,juice
test_1258b,juice
test_1258c,tea
test_1258d,coffee
test_1259a,water
test_1259b,tea
test_1259c,vinegar
test_1259d,pasta
test_1260a,tomatosauce
test_1260b,juice
test_1260c,candy
test_1260d,candy
test_1261a,chips
test_1261b,tomatosauce
test_1261c,candy
test_1261d,tomatosauce
test_1262a,cereal
test_1262b,candy
test_1262c,juice
test_1262d,milk
test_1263a,spices
test_1263b,vinegar
test_1263c,spices
test_1263d,coffee
test_1264a,cereal
test_1264b,cereal
test_1264c,tea
test_1264d,sugar
test_1265a,jam
test_1265b,chips
test_1265c,coffee
test_1265d,chocolate
test_1266a,tomatosauce
test_1266b,vinegar
test_1266c,sugar
test_1266d,nuts
test_1267a,cake
test_1267b,candy
test_1267c,tea
test_1267d,chocolate
test_1268a,tea
test_1268b,jam
test_1268c,beans
test_1268d,honey
test_1269a,tomatosauce
test_1269b,tomatosauce
test_1269c,chocolate
test_1269d,coffee
test_1270a,jam
test_1270b,soda
test_1270c,candy
test_1270d,candy
test_1271a,tea
test_1271b,sugar
test_1271c,honey
test_1271d,nuts
test_1272a,water
test_1272b,jam
test_1272c,cereal
test_1272d,coffee
test_1273a,oil
test_1273b,corn
test_1273c,pasta
test_1273d,flour
test_1274a,milk
test_1274b,tea
test_1274c,nuts
test_1274d,rice
test_1275a,jam
test_1275b,vinegar
test_1275c,nuts
test_1275d,rice
test_1276a,cereal
test_1276b,nuts
test_1276c,spices
test_1276d,chocolate
test_1277a,tea
test_1277b,rice
test_1277c,milk
test_1277d,candy
test_1278a,candy
test_1278b,chips
test_1278c,tea
test_1278d,chocolate
test_1279a,rice
test_1279b,candy
test_1279c,candy
test_1279d,sugar
test_1280a,coffee
test_1280b,tea
test_1280c,coffee
test_1280d,cake
test_1281a,coffee
test_1281b,water
test_1281c,water
test_1281d,oil
test_1282a,juice
test_1282b,honey
test_1282c,chocolate
test_1282d,pasta
test_1283a,tea
test_1283b,chocolate
test_1283c,juice
test_1283d,rice
test_1284a,nuts
test_1284b,water
test_1284c,honey
test_1284d,soda
test_1285a,tea
test_1285b,fish
test_1285c,tea
test_1285d,milk
test_1286a,rice
test_1286b,juice
test_1286c,chocolate
test_1286d,juice
test_1287a,chocolate
test_1287b,tea
test_1287c,nuts
test_1287d,candy
test_1288a,juice
test_1288b,nuts
test_1288c,juice
test_1288d,cereal
test_1289a,tea
test_1289b,spices
test_1289c,sugar
test_1289d,juice
test_1290a,milk
test_1290b,soda
test_1290c,water
test_1290d,chocolate
test_1291a,cereal
test_1291b,milk
test_1291c,fish
test_1291d,rice
test_1292a,chips
test_1292b,chocolate
test_1292c,nuts
test_1292d,chips
test_1293a,water
test_1293b,chocolate
test_1293c,candy
test_1293d,juice
test_1294a,soda
test_1294b,nuts
test_1294c,cereal
test_1294d,milk
test_1295a,chips
test_1295b,pasta
test_1295c,chips
test_1295d,spices
test_1296a,tomatosauce
test_1296b,rice
test_1296c,rice
test_1296d,water
test_1297a,tea
test_1297b,honey
test_1297c,honey
test_1297d,jam
test_1298a,sugar
test_1298b,honey
test_1298c,beans
test_1298d,candy
test_1299a,cake
test_1299b,tea
test_1299c,jam
test_1299d,juice
test_1300a,juice
test_1300b,nuts
test_1300c,water
test_1300d,pasta
test_1301a,chips
test_1301b,tea
test_1301c,chips
test_1301d,honey
test_1302a,chocolate
test_1302b,juice
test_1302c,jam
test_1302d,coffee
test_1303a,water
test_1303b,water
test_1303c,chips
test_1303d,juice
test_1304a,soda
test_1304b,tea
test_1304c,soda
test_1304d,cake
test_1305a,chocolate
test_1305b,pasta
test_1305c,chips
test_1305d,sugar
test_1306a,pasta
test_1306b,jam
test_1306c,pasta
test_1306d,candy
test_1307a,corn
test_1307b,tomatosauce
test_1307c,coffee
test_1307d,candy
test_1308a,soda
test_1308b,sugar
test_1308c,chips
test_1308d,juice
test_1309a,rice
test_1309b,tea
test_1309c,candy
test_1309d,chocolate
test_1310a,juice
test_1310b,jam
test_1310c,jam
test_1310d,jam
test_1311a,rice
test_1311b,pasta
test_1311c,tea
test_1311d,soda
test_1312a,beans
test_1312b,juice
test_1312c,tea
test_1312d,sugar
test_1313a,soda
test_1313b,honey
test_1313c,water
test_1313d,coffee
test_1314a,vinegar
test_1314b,candy
test_1314c,tea
test_1314d,juice
test_1315a,tea
test_1315b,chocolate
test_1315c,tomatosauce
test_1315d,tea
test_1316a,honey
test_1316b,tea
test_1316c,cereal
test_1316d,chocolate
test_1317a,jam
test_1317b,vinegar
test_1317c,coffee
test_1317d,tea
test_1318a,chocolate
test_1318b,beans
test_1318c,candy
test_1318d,sugar
test_1319a,coffee
test_1319b,jam
test_1319c,beans
test_1319d,chips
test_1320a,juice
test_1320b,pasta
test_1320c,flour
test_1320d,nuts
test_1321a,chips
test_1321b,candy
test_1321c,jam
test_1321d,tomatosauce
test_1322a,corn
test_1322b,soda
test_1322c,nuts
test_1322d,nuts
test_1323a,tea
test_1323b,juice
test_1323c,juice
test_1323d,cake
test_1324a,juice
test_1324b,cereal
test_1324c,vinegar
test_1324d,beans
test_1325a,beans
test_1325b,cereal
test_1325c,cake
test_1325d,sugar
test_1326a,vinegar
test_1326b,chocolate
test_1326c,beans
test_1326d,juice
test_1327a,oil
test_1327b,milk
test_1327c,milk
test_1327d,water
test_1328a,tea
test_1328b,tea
test_1328c,chips
test_1328d,juice
test_1329a,jam
test_1329b,nuts
test_1329c,soda
test_1329d,cereal
test_1330a,beans
test_1330b,sugar
test_1330c,chips
test_1330d,chocolate
test_1331a,chocolate
test_1331b,tomatosauce
test_1331c,honey
test_1331d,milk
test_1332a,nuts
test_1332b,chocolate
test_1332c,cereal
test_1332d,cereal
test_1333a,flour
test_1333b,soda
test_1333c,spices
test_1333d,cake
test_1334a,chocolate
test_1334b,candy
test_1334c,coffee
test_1334d,candy
test_1335a,nuts
test_1335b,soda
test_1335c,chips
test_1335d,cereal
test_1336a,nuts
test_1336b,coffee
test_1336c,chocolate
test_1336d,nuts
test_1337a,beans
test_1337b,honey
test_1337c,sugar
test_1337d,spices
test_1338a,spices
test_1338b,coffee
test_1338c,honey
test_1338d,coffee
test_1339a,sugar
test_1339b,oil
test_1339c,nuts
test_1339d,beans
test_1340a,milk
test_1340b,chocolate
test_1340c,milk
test_1340d,cake
test_1341a,rice
test_1341b,cereal
test_1341c,chips
test_1341d,nuts
test_1342a,chips
test_1342b,candy
test_1342c,tomatosauce
test_1342d,vinegar
test_1343a,candy
test_1343b,juice
test_1343c,rice
test_1343d,chocolate
test_1344a,rice
test_1344b,flour
test_1344c,chocolate
test_1344d,juice
test_1345a,beans
test_1345b,pasta
test_1345c,cereal
test_1345d,tea
test_1346a,coffee
test_1346b,corn
test_1346c,spices
test_1346d,juice
test_1347a,beans
test_1347b,cake
test_1347c,fish
test_1347d,chips
test_1348a,milk
test_1348b,beans
test_1348c,cereal
test_1348d,corn
test_1349a,rice
test_1349b,nuts
test_1349c,juice
test_1349d,coffee
test_1350a,cereal
test_1350b,flour
test_1350c,juice
test_1350d,flour
test_1351a,jam
test_1351b,sugar
test_1351c,tomatosauce
test_1351d,juice
test_1352a,milk
test_1352b,water
test_1352c,rice
test_1352d,fish
test_1353a,candy
test_1353b,cereal
test_1353c,candy
test_1353d,chocolate
test_1354a,beans
test_1354b,tea
test_1354c,oil
test_1354d,sugar
test_1355a,oil
test_1355b,juice
test_1355c,soda
test_1355d,coffee
test_1356a,chocolate
test_1356b,juice
test_1356c,pasta
test_1356d,chips
test_1357a,cereal
test_1357b,chocolate
test_1357c,soda
test_1357d,jam
test_1358a,chips
test_1358b,candy
test_1358c,tomatosauce
test_1358d,rice
test_1359a,fish
test_1359b,beans
test_1359c,water
test_1359d,sugar
test_1360a,milk
test_1360b,soda
test_1360c,juice
test_1360d,milk
test_1361a,chocolate
test_1361b,nuts
test_1361c,juice
test_1361d,nuts
test_1362a,chocolate
test_1362b,honey
test_1362c,sugar
test_1362d,jam
test_1363a,vinegar
test_1363b,candy
test_1363c,beans
test_1363d,sugar
test_1364a,cereal
test_1364b,sugar
test_1364c,cake
test_1364d,oil
test_1365a,tomatosauce
test_1365b,beans
test_1365c,tea
test_1365d,tea
test_1366a,beans
test_1366b,juice
test_1366c,pasta
test_1366d,juice
test_1367a,tea
test_1367b,coffee
test_1367c,chocolate
test_1367d,candy
test_1368a,soda
test_1368b,chocolate
test_1368c,rice
test_1368d,tea
test_1369a,soda
test_1369b,corn
test_1369c,water
test_1369d,coffee
